scenario_id,model,n_successful_reps,n_failed_reps,failure_rate,cindex_mean,cindex_sd,cindex_se,cindex_ci95_low,cindex_ci95_high,cindex_median,cindex_p25,cindex_p75,spearman_true_lp_mean,spearman_true_lp_sd,spearman_true_lp_se,spearman_true_lp_ci95_low,spearman_true_lp_ci95_high,spearman_true_lp_median,spearman_true_lp_p25,spearman_true_lp_p75,spearman_true_risk5_mean,spearman_true_risk5_sd,spearman_true_risk5_se,spearman_true_risk5_ci95_low,spearman_true_risk5_ci95_high,spearman_true_risk5_median,spearman_true_risk5_p25,spearman_true_risk5_p75,risk5_mae_vs_true_risk_mean,risk5_mae_vs_true_risk_sd,risk5_mae_vs_true_risk_se,risk5_mae_vs_true_risk_ci95_low,risk5_mae_vs_true_risk_ci95_high,risk5_mae_vs_true_risk_median,risk5_mae_vs_true_risk_p25,risk5_mae_vs_true_risk_p75,risk5_rmse_vs_true_risk_mean,risk5_rmse_vs_true_risk_sd,risk5_rmse_vs_true_risk_se,risk5_rmse_vs_true_risk_ci95_low,risk5_rmse_vs_true_risk_ci95_high,risk5_rmse_vs_true_risk_median,risk5_rmse_vs_true_risk_p25,risk5_rmse_vs_true_risk_p75,risk5_naive_brier_mean,risk5_naive_brier_sd,risk5_naive_brier_se,risk5_naive_brier_ci95_low,risk5_naive_brier_ci95_high,risk5_naive_brier_median,risk5_naive_brier_p25,risk5_naive_brier_p75,risk5_calibration_slope_mean,risk5_calibration_slope_sd,risk5_calibration_slope_se,risk5_calibration_slope_ci95_low,risk5_calibration_slope_ci95_high,risk5_calibration_slope_median,risk5_calibration_slope_p25,risk5_calibration_slope_p75,runtime_sec_mean,runtime_sec_sd,runtime_sec_se,runtime_sec_ci95_low,runtime_sec_ci95_high,runtime_sec_median,runtime_sec_p25,runtime_sec_p75
S0_linear_PH_inst30,cox_dgm_features,50,0,0.0,0.6968004277571765,0.011902617154387812,0.00168328426074699,0.6935011906061125,0.7000996649082406,0.698529743151989,0.69022764718001,0.7044269232361234,0.9650866206956894,0.006148854326374992,0.0008695793181415994,0.9633822452321319,0.9667909961592469,0.9658972168432076,0.961864520828676,0.9688331408147294,0.930086358698522,0.010790344231650697,0.0015259851155074709,0.9270954278721273,0.9330772895249166,0.9303468899319511,0.92268299497022,0.9374697366532163,0.08581085698025985,0.005557965679473568,0.0007860150443115715,0.08427026749340917,0.08735144646711053,0.08660548650671196,0.08236692205262255,0.08887943487198575,0.12883736124980302,0.00784381552530694,0.001109283029664172,0.12666316651166123,0.1310115559879448,0.12955811112020332,0.12350756111754274,0.1336717268106137,0.2046764250570303,0.004000776871020933,0.0005657952911026397,0.20356746628646913,0.20578538382759146,0.20390987424749002,0.20219655206164122,0.20733523995742517,0.609022096861722,0.05826153925724228,0.008239425898232452,0.5928728221011864,0.6251713716222577,0.6175421913429858,0.5693863841213624,0.6410814935468189,0.2202432982599997,0.019963607025802264,0.0028232803809776367,0.21470966871328354,0.22577692780671585,0.23016483350000527,0.19740747899999533,0.23282905200000314
S0_linear_PH_inst30,oracle_true_lp_not_a_model,50,0,0.0,0.7041759180368307,0.011561663897123448,0.0016350661886911353,0.700971188306996,0.7073806477666653,0.7041012820936358,0.6973162093090663,0.711370881815103,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9639965161546926,0.0038723117550313524,0.00054762758017021,0.962923166097559,0.9650698662118262,0.9640864942606642,0.9615564982217013,0.9660825571402634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18868349985087707,0.0025125611657374814,0.00035532980768779,0.187987053427809,0.18937994627394514,0.1884450177608481,0.18729218923351887,0.18989175699445374,1.032609618500741,0.07362033694786493,0.010411487897814766,1.012203102221024,1.0530161347804579,1.0348487563340087,0.9979410947949576,1.0742284147125336,0.00010648499999973637,2.7803518537759505e-05,3.932011299779126e-06,9.877825785216929e-05,0.00011419174214730346,9.843750000015916e-05,9.61665000005496e-05,0.0001003647500006366
S0_linear_PH_inst30,penalised_cox_all_safe_predictors,50,0,0.0,0.6884690468701143,0.011867475009225702,0.001678314410917076,0.6851795506247169,0.6917585431155118,0.6894363071069851,0.6821144512667704,0.6962906634796194,0.9254686653093382,0.008927913880674347,0.0012625976893748672,0.9229939738381635,0.927943356780513,0.9251361338382817,0.9194776228789436,0.9330620529164682,0.9015219255919724,0.010692397634028013,0.001512133374832841,0.8985581441773001,0.9044857070066448,0.903457276203234,0.8936904514179784,0.9102409672182077,0.09271241582233426,0.005524692014840146,0.0007813094375321275,0.0911810493247713,0.09424378231989723,0.0929594414387471,0.08885656438810732,0.09604369160597673,0.13185247182772025,0.007159758402844807,0.0010125427436617855,0.12986788805014315,0.13383705560529735,0.13226648602868968,0.1269561321408129,0.1361861806468474,0.2057823496465395,0.003682249015649919,0.0005207486497967094,0.20476168229293795,0.20680301700014103,0.20512955792681725,0.20310211081442822,0.20808295582650543,0.6047759814284578,0.05302647067541439,0.007499075399395024,0.5900777936456435,0.6194741692112721,0.6077573387595142,0.5642208422042598,0.6474926185297156,0.9437355325400009,0.06473750999375119,0.009155266462742671,0.9257912102730252,0.9616798548069765,0.9169373539999981,0.9091741980000041,0.9365611255000061
S0_linear_PH_inst30,xgb_survival_cox_strict,50,0,0.0,0.684827596083545,0.01175906691423097,0.0016629831910958178,0.6815681490289972,0.6880870431380929,0.6849156206907043,0.67716549881771,0.6926608405558237,0.904087112655755,0.009951803196045352,0.001407397504991525,0.9013286135459716,0.9068456117655385,0.9054219099652934,0.8958178061412473,0.9113168396963733,0.8971999895160079,0.011790745406941975,0.0016674632064985618,0.8939317616312707,0.900468217400745,0.897936921749743,0.8887332376592167,0.9057896834620816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4074000359400001,0.010008042509264776,0.0014153509449408707,0.404625948087916,0.41017412379208423,0.4051738955000026,0.40209018750000425,0.40847737550000396
S1_linear_PH_inst15,cox_dgm_features,50,0,0.0,0.6919187197553369,0.013984373215019106,0.001977689026196706,0.6880424492639914,0.6957949902466825,0.6934564638119884,0.6876210848338429,0.698757532488663,0.9454533356669509,0.011938174688800486,0.001688312855488085,0.9421442424701942,0.9487624288637075,0.9454568682030526,0.9359372621943389,0.9544505930891526,0.9179852362547216,0.014634281184192773,0.002069599892626682,0.9139288204651733,0.9220416520442699,0.9186330584672526,0.9079591190929419,0.9297533876523332,0.054242784432009514,0.004130832676021828,0.0005841879594324015,0.05309777603152201,0.05538779283249702,0.05456852691477236,0.05114970121780934,0.057077115197491216,0.09063248476244032,0.007624194562320751,0.001078223935220521,0.0885191658494081,0.09274580367547254,0.0902070864059118,0.08572929820406702,0.09634728995432218,0.128283444615562,0.002801959014822324,0.00039625684399752865,0.12750678120132683,0.12906010802979714,0.12794644388635779,0.12626406133627682,0.12998199447669975,0.6519454239532547,0.08709926036220088,0.012317695527688981,0.6278027407189843,0.6760881071875251,0.6632526533536816,0.5819963838170091,0.7048482846339421,0.16964208420000004,0.0157424990640725,0.0022263255682057085,0.16527848608631684,0.17400568231368324,0.17401812549998397,0.15105062499998922,0.17709747900000394
S1_linear_PH_inst15,oracle_true_lp_not_a_model,50,0,0.0,0.7042872063163241,0.015755206205889806,0.0022281226294354117,0.6999200859626308,0.7086543266700175,0.7059071254000315,0.6967099350192493,0.7149156383136174,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9706242948704156,0.0029222170793653775,0.00041326390258368117,0.9698142976213515,0.9714342921194796,0.9705503206759396,0.9684290241906774,0.9727795301242357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12001670177730756,0.0016715040772718602,0.00023638637356397906,0.11955338448512215,0.12048001906949296,0.11989847250052404,0.11890259291917762,0.12067964479651534,1.0055092732604987,0.11555556061309691,0.01634202410266679,0.9734789060192718,1.0375396405017256,1.0144105435043795,0.9263400718233274,1.0834055290011944,0.0001034508199974482,3.3364202746586265e-05,4.7184108021987965e-06,9.420273482513857e-05,0.00011269890516975784,9.456199998680859e-05,9.258350000607152e-05,9.635424999743236e-05
S1_linear_PH_inst15,penalised_cox_all_safe_predictors,50,0,0.0,0.6845830600064496,0.01351826493881775,0.0019117713616228758,0.6808359881376688,0.6883301318752305,0.686823541783549,0.676480704154328,0.6961317519856977,0.8990027571904643,0.01317989285826636,0.001863918323078458,0.8953494772772305,0.9026560371036981,0.9018182532525572,0.8884698553199357,0.9073253045890243,0.8879520737135898,0.013737795275838172,0.0019428176396195378,0.8841441511399355,0.891759996287244,0.8890736786994128,0.8772979401324179,0.8989316196801117,0.05556851864828512,0.0037430561470716646,0.000529348076791273,0.05453099641777422,0.05660604087879601,0.0554230648477701,0.05370171144729011,0.058157703938517366,0.08505786612888451,0.006574944052987207,0.0009298375051578833,0.08323538461877505,0.08688034763899397,0.08551037949462882,0.08043523525146296,0.0903110238342014,0.127133304143789,0.002506163801867956,0.00035442508381301817,0.1264386309795155,0.12782797730806253,0.1269613976150963,0.12526049981071108,0.12918665636424487,0.6929551668631012,0.08483736114804388,0.011997814673150795,0.6694394501037256,0.7164708836224768,0.6953625460174331,0.6245218342469353,0.7558640797310922,0.7662804734000014,0.04703151878176058,0.006651261172017075,0.7532440015028479,0.7793169452971549,0.7454264789999954,0.7391538437500103,0.7698508125000103
S1_linear_PH_inst15,xgb_survival_cox_strict,50,0,0.0,0.6752955386630682,0.01582610266247106,0.002238148902477552,0.6709087668142122,0.6796823105119243,0.675133110823509,0.667060536447259,0.6876917624515833,0.8492335594257842,0.021166842883135476,0.0029934436277950613,0.8433664099153059,0.8551007089362624,0.8505675353633492,0.8353608103825825,0.8622601245600554,0.8481457807479871,0.020559195260711635,0.0029075092769175054,0.8424470625652287,0.8538444989307454,0.8491741747440776,0.833243132996948,0.8655378173201799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3885878849600013,0.009698312465702172,0.0013715485021128064,0.3858996498958602,0.3912761200241424,0.3864274790000053,0.3815253749999954,0.3934236772499773
S2_linear_PH_inst45,cox_dgm_features,50,0,0.0,0.6933204052885168,0.010967298877376854,0.0015510102814985567,0.6902804251367797,0.6963603854402539,0.6921865560924929,0.6854263762383295,0.6999534681534961,0.9727832860006123,0.005087432845250877,0.0007194716527416134,0.9713731215612387,0.9741934504399858,0.9734129037390684,0.9697750647889177,0.976843923930633,0.9264203558609856,0.008672850581597101,0.0012265262916930006,0.9240163643292673,0.9288243473927039,0.9275951091533821,0.9208253648112733,0.9323087939150196,0.10017106824543787,0.005645246866312927,0.0007983584681283956,0.09860628564790622,0.10173585084296952,0.10046028578665453,0.0954839768807712,0.1039872156833692,0.13846089072812726,0.0069694811533893815,0.0009856334769826943,0.13652904911324118,0.14039273234301333,0.13861903424384925,0.13360676338612015,0.1425571411947575,0.23636676709277918,0.005825301469759669,0.0008238220343446048,0.23475207590546376,0.2379814582800946,0.23594846707156586,0.23327464424926472,0.24000549011401162,0.5120588348657688,0.06600158659221393,0.009334033889685118,0.4937641284419859,0.5303535412895516,0.5152902158364705,0.4590922955110467,0.5454064625884647,0.2592987224800011,0.023821114159388177,0.003368814271504453,0.2526958465078524,0.2659015984521498,0.26873366650001174,0.23290618750000647,0.27218824950001874
S2_linear_PH_inst45,oracle_true_lp_not_a_model,50,0,0.0,0.6992684451098363,0.010423155374673325,0.0014740567693585034,0.6963792938418937,0.702157596377779,0.6976301777729953,0.6928603489568879,0.7064527166415386,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9532274293573244,0.004450512696212917,0.0006293975414497958,0.9519938101760828,0.9544610485385661,0.9528081532480682,0.9495406890617786,0.9559616222051655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217210930027708,0.003388280922359344,0.0004791752833530604,0.216271746472336,0.21815011358308,0.21728207282595233,0.21557692379868354,0.2197682590520324,1.0127733913924626,0.07193554666021632,0.010173222570360052,0.9928338751545569,1.0327129076303683,1.0045763313370113,0.961120636928856,1.044504705504552,9.906913999827793e-05,1.68819429145077e-05,2.3874672628905163e-06,9.438970416301252e-05,0.00010374857583354333,9.516700001199752e-05,9.29372499953729e-05,9.697974999767212e-05
