scenario_id,model,model_mae_minus_oracle,model_auc_minus_oracle,flag_model_beats_oracle_mae_by_more_than_0_005,flag_model_exceeds_oracle_auc_by_more_than_0_02,needs_audit
S0_linear_PH_inst30,cs_cox_dgm_cif,0.03708014784571448,-0.010024825396825476,False,False,False
S0_linear_PH_inst30,cs_penalised_cox_all_safe_cif,0.05235315594901072,-0.020399894179894185,False,False,False
S0_linear_PH_inst30,nonparametric_aj_null,0.11540117750063195,-0.19604031746031747,False,False,False
S1_linear_PH_inst15,cs_cox_dgm_cif,0.027065579096441836,-0.016357333333333224,False,False,False
S1_linear_PH_inst15,cs_penalised_cox_all_safe_cif,0.034485506180568996,-0.024066684095860658,False,False,False
S1_linear_PH_inst15,nonparametric_aj_null,0.06710508688849966,-0.18316740740740745,False,False,False
S2_linear_PH_inst45,cs_cox_dgm_cif,0.040127605297137506,-0.008972049382715896,False,False,False
S2_linear_PH_inst45,cs_penalised_cox_all_safe_cif,0.05805276822735461,-0.016731923681256755,False,False,False
S2_linear_PH_inst45,nonparametric_aj_null,0.14312744352397128,-0.2018918249158248,False,False,False
S3_nonlinear_interaction_inst30,cs_cox_dgm_cif,0.05245876829431055,-0.015235301587301686,False,False,False
S3_nonlinear_interaction_inst30,cs_penalised_cox_all_safe_cif,0.06343530847778628,-0.023545862433862585,False,False,False
S3_nonlinear_interaction_inst30,nonparametric_aj_null,0.14843059431193062,-0.24038539682539684,False,False,False
S4_nonPH_inst30,cs_cox_dgm_cif,0.049902436523998055,-0.00495743915343938,False,False,False
S4_nonPH_inst30,cs_penalised_cox_all_safe_cif,0.06227082960845802,-0.016286497354497498,False,False,False
S4_nonPH_inst30,nonparametric_aj_null,0.12911014156490605,-0.1717199365079367,False,False,False
S5_MAR_missingness_inst30,cs_cox_dgm_cif,0.040153945155564405,-0.013756380952380742,False,False,False
S5_MAR_missingness_inst30,cs_penalised_cox_all_safe_cif,0.05416398602925842,-0.02196780952380939,False,False,False
S5_MAR_missingness_inst30,nonparametric_aj_null,0.11586984744255581,-0.19077995767195755,False,False,False
S6_highdim_sparseMRI_inst30,cs_cox_dgm_cif,0.04706275608807836,-0.014159153439153527,False,False,False
S6_highdim_sparseMRI_inst30,cs_penalised_cox_all_safe_cif,0.04558107525701154,-0.012314497354497522,False,False,False
S6_highdim_sparseMRI_inst30,nonparametric_aj_null,0.14287261302631932,-0.22982679365079373,False,False,False
S7_strong_death_competing_inst30,cs_cox_dgm_cif,0.03665415016508258,-0.012016804232804268,False,False,False
S7_strong_death_competing_inst30,cs_penalised_cox_all_safe_cif,0.051692700941190356,-0.020852952380952527,False,False,False
S7_strong_death_competing_inst30,nonparametric_aj_null,0.10880481422725097,-0.18313341798941807,False,False,False
