scenario_id,replicate_id,model,decile,n,mean_predicted_risk5,mean_true_risk5,observed_event1_5y_rate,observed_event2_5y_rate
S0_linear_PH_inst30,1,finegray_dgm_cif_R,1,150,0.09735833319590567,0.10503590412,0.05333333333333334,0.15333333333333332
S0_linear_PH_inst30,1,finegray_dgm_cif_R,2,150,0.1498491702568075,0.16229946386,0.20666666666666667,0.14
S0_linear_PH_inst30,1,finegray_dgm_cif_R,3,150,0.18674388966606678,0.1948919168,0.15333333333333332,0.19333333333333333
S0_linear_PH_inst30,1,finegray_dgm_cif_R,4,150,0.2232183297729208,0.2392390384,0.3,0.20666666666666667
S0_linear_PH_inst30,1,finegray_dgm_cif_R,5,150,0.2595182799086805,0.27036636146666665,0.24,0.2733333333333333
S0_linear_PH_inst30,1,finegray_dgm_cif_R,6,150,0.2996991086558298,0.3080804516,0.32,0.22
S0_linear_PH_inst30,1,finegray_dgm_cif_R,7,150,0.3396723412397142,0.33786749726666665,0.38666666666666666,0.2733333333333333
S0_linear_PH_inst30,1,finegray_dgm_cif_R,8,150,0.39294125460741436,0.39415231573333337,0.34,0.29333333333333333
S0_linear_PH_inst30,1,finegray_dgm_cif_R,9,150,0.45954250356467574,0.448785268,0.4066666666666667,0.38666666666666666
S0_linear_PH_inst30,1,finegray_dgm_cif_R,10,150,0.6079928998156717,0.5510074996666666,0.5933333333333334,0.29333333333333333
S0_linear_PH_inst30,1,finegray_all_safe_reduced_R,1,150,0.10317235610520348,0.11901798138666665,0.08666666666666667,0.18
S0_linear_PH_inst30,1,finegray_all_safe_reduced_R,2,150,0.15579428922009703,0.17278617788666667,0.18666666666666668,0.20666666666666667
S0_linear_PH_inst30,1,finegray_all_safe_reduced_R,3,150,0.19343495338319444,0.19843717977333333,0.17333333333333334,0.22666666666666666
S0_linear_PH_inst30,1,finegray_all_safe_reduced_R,4,150,0.2260222029620933,0.24741354953333333,0.24666666666666667,0.26
S0_linear_PH_inst30,1,finegray_all_safe_reduced_R,5,150,0.2592732345613993,0.26880708519999996,0.2733333333333333,0.25333333333333335
S0_linear_PH_inst30,1,finegray_all_safe_reduced_R,6,150,0.2938817819927691,0.31104388580000003,0.38666666666666666,0.18
