scenario_id,model,decile,n_total,mean_predicted_risk5,mean_true_risk5,observed_event1_5y_rate,observed_event2_5y_rate
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,1,302,0.2290718059550059,0.1370057579514035,0.1160087719298245,0.2047807017543859
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,2,298,0.2419013387427168,0.1818353137365315,0.1847297297297297,0.16067567567567564
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,3,300,0.25767872391905067,0.21802414234999995,0.23333333333333328,0.24999999999999994
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,4,300,0.274343507614884,0.24533334375333327,0.2333333333333333,0.2433333333333333
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,5,300,0.2874594839398633,0.27200953024999996,0.26999999999999996,0.2533333333333333
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,6,300,0.30432491280892704,0.30361397365,0.31,0.2766666666666666
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,7,300,0.3208931934836628,0.34239729306666666,0.29666666666666663,0.29666666666666663
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,8,300,0.3466329184007184,0.38570509,0.37,0.24666666666666665
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,9,300,0.3815843428463369,0.4372257834333333,0.4333333333333333,0.2799999999999999
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,10,300,0.44141165245949554,0.5463986513333332,0.5533333333333333,0.2266666666666666
S0_linear_PH_inst30,cs_gbsa_dgm_cif,1,307,0.2268115349432531,0.1352837886571786,0.1234929529631516,0.1572423161827135
S0_linear_PH_inst30,cs_gbsa_dgm_cif,2,294,0.23777222966877232,0.17438955320347221,0.1763888888888889,0.1908333333333333
S0_linear_PH_inst30,cs_gbsa_dgm_cif,3,299,0.2637100700474434,0.22510239959970912,0.2140492170022371,0.2406711409395973
S0_linear_PH_inst30,cs_gbsa_dgm_cif,4,300,0.28206199095167195,0.23222245356999993,0.2133333333333333,0.2666666666666666
S0_linear_PH_inst30,cs_gbsa_dgm_cif,5,301,0.29478752354713766,0.2723598266573951,0.23253863134657832,0.272317880794702
S0_linear_PH_inst30,cs_gbsa_dgm_cif,6,299,0.3088749926318888,0.3107201125997763,0.28404921700223706,0.31456375838926176
S0_linear_PH_inst30,cs_gbsa_dgm_cif,7,300,0.3231642055113476,0.34635749346666667,0.35333333333333333,0.29000000000000004
S0_linear_PH_inst30,cs_gbsa_dgm_cif,8,300,0.34322719334319574,0.3949333362333333,0.42000000000000004,0.22999999999999995
S0_linear_PH_inst30,cs_gbsa_dgm_cif,9,300,0.36744576083938685,0.4426485495333333,0.44333333333333336,0.23333333333333328
S0_linear_PH_inst30,cs_gbsa_dgm_cif,10,300,0.4194414927518134,0.5367555265666666,0.54,0.24666666666666665
S0_linear_PH_inst30,cs_rsf_all_safe_cif,1,300,0.1338563066581142,0.12677240445,0.1066666666666666,0.14666666666666667
S0_linear_PH_inst30,cs_rsf_all_safe_cif,2,300,0.19204352760796384,0.1808976339833333,0.19,0.2033333333333333
S0_linear_PH_inst30,cs_rsf_all_safe_cif,3,300,0.23054040479747417,0.2129471381333333,0.1966666666666666,0.24666666666666665
S0_linear_PH_inst30,cs_rsf_all_safe_cif,4,300,0.26453702609687535,0.2424133069366666,0.2899999999999999,0.23333333333333328
S0_linear_PH_inst30,cs_rsf_all_safe_cif,5,300,0.29803109322644,0.2753951378666667,0.23666666666666664,0.25666666666666665
S0_linear_PH_inst30,cs_rsf_all_safe_cif,6,300,0.33449389717356104,0.3070892782833333,0.29,0.27999999999999997
S0_linear_PH_inst30,cs_rsf_all_safe_cif,7,300,0.3781801131164849,0.34422617459999993,0.29333333333333333,0.3
S0_linear_PH_inst30,cs_rsf_all_safe_cif,8,300,0.42611595667789737,0.38985712446666665,0.3733333333333333,0.2799999999999999
S0_linear_PH_inst30,cs_rsf_all_safe_cif,9,300,0.48553930771683285,0.4429461605666667,0.4666666666666667,0.24999999999999994
S0_linear_PH_inst30,cs_rsf_all_safe_cif,10,300,0.5803586775236644,0.5468387979666667,0.5566666666666666,0.2433333333333333
S0_linear_PH_inst30,cs_rsf_dgm_cif,1,300,0.11786668991846444,0.1167382571966666,0.12666666666666665,0.1066666666666666
S0_linear_PH_inst30,cs_rsf_dgm_cif,2,300,0.17893198680078334,0.1650231642533333,0.14999999999999997,0.1433333333333333
S0_linear_PH_inst30,cs_rsf_dgm_cif,3,300,0.21993847509240638,0.2074130258566666,0.1633333333333333,0.2366666666666666
S0_linear_PH_inst30,cs_rsf_dgm_cif,4,300,0.25722412607058853,0.23693175427999996,0.20999999999999996,0.27666666666666667
S0_linear_PH_inst30,cs_rsf_dgm_cif,5,300,0.2937292970066781,0.2789455782,0.29,0.2633333333333333
