check_name,expected,observed,passed
expected_scenarios,8,8,True
observed_scenarios,8,8,True
expected_reps_per_scenario,2,2,True
observed_min_reps_per_scenario,2,2,True
observed_max_reps_per_scenario,2,2,True
attempted_models,core_and_optional,cs_gbsa_all_safe_cif;cs_gbsa_dgm_cif;cs_rsf_all_safe_cif;cs_rsf_dgm_cif;deephit_competing_risk_all_safe_reduced_optional;deephit_competing_risk_dgm_optional;deepsurv_all_safe_cause_specific_optional;deepsurv_dgm_cause_specific_optional;finegray_all_safe_reduced_R;finegray_dgm_cif_R,True
successful_models,at_least_one_core,cs_gbsa_all_safe_cif;cs_gbsa_dgm_cif;cs_rsf_all_safe_cif;cs_rsf_dgm_cif;finegray_all_safe_reduced_R;finegray_dgm_cif_R,True
skipped_models,logged,deephit_competing_risk_all_safe_reduced_optional;deephit_competing_risk_dgm_optional;deepsurv_all_safe_cause_specific_optional;deepsurv_dgm_cause_specific_optional,True
failed_model_fits,0 preferred,0,True
export_safety_passed,True,True,True
predictor_leakage_audit_passed,True,True,True
oracle_sanity_passed,True,False,False
finegray_completed,True,True,True
rsf_completed,True,True,True
gbsa_completed,True,True,True
deephit_completed,optional,False,True
full_run_passed,True,True,True
publication_ready,True,False,False
