scenario_id,model,metric,model_value,oracle_value,gap,flag_name,needs_audit
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,risk5_mae_vs_true_risk_mean,0.08031232312980655,0.0,0.08031232312980655,mae_better_than_oracle,False
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,auc_5y_observed_event1_mean,0.6596259259259258,0.6960403174603175,-0.03641439153439163,auc_exceeds_oracle,False
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,cause_specific_cindex_event1_mean,0.6736600343714116,0.7041759180368307,-0.03051588366541902,cindex_exceeds_oracle,False
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,risk5_spearman_with_true_risk_mean,0.8141348597139568,,,spearman_below_0_50,False
S0_linear_PH_inst30,cs_gbsa_all_safe_cif,calibration_slope_5y_mean,1.96398650859957,,,calibration_slope_outside_0_5_to_1_5,True
S0_linear_PH_inst30,cs_gbsa_dgm_cif,risk5_mae_vs_true_risk_mean,0.08216144184777971,0.0,0.08216144184777971,mae_better_than_oracle,False
S0_linear_PH_inst30,cs_gbsa_dgm_cif,auc_5y_observed_event1_mean,0.6721301587301587,0.6960403174603175,-0.02391015873015878,auc_exceeds_oracle,False
S0_linear_PH_inst30,cs_gbsa_dgm_cif,cause_specific_cindex_event1_mean,0.6838331226841194,0.7041759180368307,-0.020342795352711218,cindex_exceeds_oracle,False
S0_linear_PH_inst30,cs_gbsa_dgm_cif,risk5_spearman_with_true_risk_mean,0.8331840094760407,,,spearman_below_0_50,False
S0_linear_PH_inst30,cs_gbsa_dgm_cif,calibration_slope_5y_mean,2.3432068487613025,,,calibration_slope_outside_0_5_to_1_5,True
S0_linear_PH_inst30,cs_rsf_all_safe_cif,risk5_mae_vs_true_risk_mean,0.0641590380452535,0.0,0.0641590380452535,mae_better_than_oracle,False
S0_linear_PH_inst30,cs_rsf_all_safe_cif,auc_5y_observed_event1_mean,0.6688560846560847,0.6960403174603175,-0.027184232804232766,auc_exceeds_oracle,False
S0_linear_PH_inst30,cs_rsf_all_safe_cif,cause_specific_cindex_event1_mean,0.6825520187159293,0.7041759180368307,-0.021623899320901363,cindex_exceeds_oracle,False
S0_linear_PH_inst30,cs_rsf_all_safe_cif,risk5_spearman_with_true_risk_mean,0.8410189728973213,,,spearman_below_0_50,False
S0_linear_PH_inst30,cs_rsf_all_safe_cif,calibration_slope_5y_mean,1.0194583892946296,,,calibration_slope_outside_0_5_to_1_5,False
S0_linear_PH_inst30,cs_rsf_dgm_cif,risk5_mae_vs_true_risk_mean,0.0503350428776384,0.0,0.0503350428776384,mae_better_than_oracle,False
S0_linear_PH_inst30,cs_rsf_dgm_cif,auc_5y_observed_event1_mean,0.6841322751322751,0.6960403174603175,-0.011908042328042323,auc_exceeds_oracle,False
S0_linear_PH_inst30,cs_rsf_dgm_cif,cause_specific_cindex_event1_mean,0.7004520047165201,0.7041759180368307,-0.0037239133203105235,cindex_exceeds_oracle,False
S0_linear_PH_inst30,cs_rsf_dgm_cif,risk5_spearman_with_true_risk_mean,0.9093054210246316,,,spearman_below_0_50,False
S0_linear_PH_inst30,cs_rsf_dgm_cif,calibration_slope_5y_mean,1.1113242094217308,,,calibration_slope_outside_0_5_to_1_5,False
S0_linear_PH_inst30,finegray_all_safe_reduced_R,risk5_mae_vs_true_risk_mean,0.05435442958452645,0.0,0.05435442958452645,mae_better_than_oracle,False
S0_linear_PH_inst30,finegray_all_safe_reduced_R,auc_5y_observed_event1_mean,0.6837375661375662,0.6960403174603175,-0.01230275132275127,auc_exceeds_oracle,False
S0_linear_PH_inst30,finegray_all_safe_reduced_R,cause_specific_cindex_event1_mean,0.6805229345417876,0.7041759180368307,-0.02365298349504308,cindex_exceeds_oracle,False
S0_linear_PH_inst30,finegray_all_safe_reduced_R,risk5_spearman_with_true_risk_mean,0.8748896563954028,,,spearman_below_0_50,False
S0_linear_PH_inst30,finegray_all_safe_reduced_R,calibration_slope_5y_mean,0.962214903111249,,,calibration_slope_outside_0_5_to_1_5,False
S0_linear_PH_inst30,finegray_dgm_cif_R,risk5_mae_vs_true_risk_mean,0.0412802050542422,0.0,0.0412802050542422,mae_better_than_oracle,False
S0_linear_PH_inst30,finegray_dgm_cif_R,auc_5y_observed_event1_mean,0.6969544973544973,0.6960403174603175,0.0009141798941798562,auc_exceeds_oracle,False
S0_linear_PH_inst30,finegray_dgm_cif_R,cause_specific_cindex_event1_mean,0.7029131859129489,0.7041759180368307,-0.0012627321238817268,cindex_exceeds_oracle,False
S0_linear_PH_inst30,finegray_dgm_cif_R,risk5_spearman_with_true_risk_mean,0.9407095700931423,,,spearman_below_0_50,False
S0_linear_PH_inst30,finegray_dgm_cif_R,calibration_slope_5y_mean,0.9685054882628537,,,calibration_slope_outside_0_5_to_1_5,False
S1_linear_PH_inst15,cs_gbsa_all_safe_cif,risk5_mae_vs_true_risk_mean,0.05688210903950655,0.0,0.05688210903950655,mae_better_than_oracle,False
S1_linear_PH_inst15,cs_gbsa_all_safe_cif,auc_5y_observed_event1_mean,0.6172069716775599,0.6831674074074074,-0.06596043572984756,auc_exceeds_oracle,False
S1_linear_PH_inst15,cs_gbsa_all_safe_cif,cause_specific_cindex_event1_mean,0.6550159198253962,0.7042872063163241,-0.049271286490927935,cindex_exceeds_oracle,False
S1_linear_PH_inst15,cs_gbsa_all_safe_cif,risk5_spearman_with_true_risk_mean,0.5941957864784981,,,spearman_below_0_50,False
S1_linear_PH_inst15,cs_gbsa_all_safe_cif,calibration_slope_5y_mean,2.0331933863198786,,,calibration_slope_outside_0_5_to_1_5,True
S1_linear_PH_inst15,cs_gbsa_dgm_cif,risk5_mae_vs_true_risk_mean,0.0565489449018057,0.0,0.0565489449018057,mae_better_than_oracle,False
S1_linear_PH_inst15,cs_gbsa_dgm_cif,auc_5y_observed_event1_mean,0.6242701525054466,0.6831674074074074,-0.05889725490196085,auc_exceeds_oracle,False
S1_linear_PH_inst15,cs_gbsa_dgm_cif,cause_specific_cindex_event1_mean,0.6612125880247041,0.7042872063163241,-0.04307461829162007,cindex_exceeds_oracle,False
S1_linear_PH_inst15,cs_gbsa_dgm_cif,risk5_spearman_with_true_risk_mean,0.6710937939484536,,,spearman_below_0_50,False
S1_linear_PH_inst15,cs_gbsa_dgm_cif,calibration_slope_5y_mean,2.885861506255819,,,calibration_slope_outside_0_5_to_1_5,True
S1_linear_PH_inst15,cs_rsf_all_safe_cif,risk5_mae_vs_true_risk_mean,0.04377867968689905,0.0,0.04377867968689905,mae_better_than_oracle,False
S1_linear_PH_inst15,cs_rsf_all_safe_cif,auc_5y_observed_event1_mean,0.6523834422657951,0.6831674074074074,-0.0307839651416123,auc_exceeds_oracle,False
S1_linear_PH_inst15,cs_rsf_all_safe_cif,cause_specific_cindex_event1_mean,0.67137635526206,0.7042872063163241,-0.03291085105426417,cindex_exceeds_oracle,False
S1_linear_PH_inst15,cs_rsf_all_safe_cif,risk5_spearman_with_true_risk_mean,0.7805630384724617,,,spearman_below_0_50,False
S1_linear_PH_inst15,cs_rsf_all_safe_cif,calibration_slope_5y_mean,0.8148986813096872,,,calibration_slope_outside_0_5_to_1_5,False
S1_linear_PH_inst15,cs_rsf_dgm_cif,risk5_mae_vs_true_risk_mean,0.03450560800767605,0.0,0.03450560800767605,mae_better_than_oracle,False
S1_linear_PH_inst15,cs_rsf_dgm_cif,auc_5y_observed_event1_mean,0.6669647058823529,0.6831674074074074,-0.01620270152505454,auc_exceeds_oracle,False
S1_linear_PH_inst15,cs_rsf_dgm_cif,cause_specific_cindex_event1_mean,0.6903609505168514,0.7042872063163241,-0.013926255799472709,cindex_exceeds_oracle,False
S1_linear_PH_inst15,cs_rsf_dgm_cif,risk5_spearman_with_true_risk_mean,0.8669880795502577,,,spearman_below_0_50,False
S1_linear_PH_inst15,cs_rsf_dgm_cif,calibration_slope_5y_mean,0.9584695179849413,,,calibration_slope_outside_0_5_to_1_5,False
S1_linear_PH_inst15,finegray_all_safe_reduced_R,risk5_mae_vs_true_risk_mean,0.032113388030076004,0.0,0.032113388030076004,mae_better_than_oracle,False
S1_linear_PH_inst15,finegray_all_safe_reduced_R,auc_5y_observed_event1_mean,0.664094117647059,0.6831674074074074,-0.0190732897603485,auc_exceeds_oracle,False
S1_linear_PH_inst15,finegray_all_safe_reduced_R,cause_specific_cindex_event1_mean,0.670884737826094,0.7042872063163241,-0.0334024684902301,cindex_exceeds_oracle,False
S1_linear_PH_inst15,finegray_all_safe_reduced_R,risk5_spearman_with_true_risk_mean,0.8780325129033392,,,spearman_below_0_50,False
S1_linear_PH_inst15,finegray_all_safe_reduced_R,calibration_slope_5y_mean,0.8336145585666033,,,calibration_slope_outside_0_5_to_1_5,False
S1_linear_PH_inst15,finegray_dgm_cif_R,risk5_mae_vs_true_risk_mean,0.02803470915714945,0.0,0.02803470915714945,mae_better_than_oracle,False
