predictor_set,predictor,source,forbidden_name_flag
all_safe,age,C3,False
all_safe,sex_Female,C3,False
all_safe,MMSE,C3,False
all_safe,IMD_Score_2019_synthetic,C3,False
all_safe,IMD_Decile_2019_synthetic,C3,False
all_safe,diagnosis_reference_NOT_PREDICTOR,C3,False
all_safe,wmh_icv_pct,C3,False
all_safe,wmh_log_icv,C3,False
all_safe,MTL_total_pct,C3,False
all_safe,Temporal_lateral_total_pct,C3,False
all_safe,Medial_parietal_total_pct,C3,False
all_safe,Posterior_total_pct,C3,False
all_safe,Ventricles_total_pct,C3,False
all_safe,LI_PCgG,C3,False
all_safe,LI_PCu,C3,False
all_safe,LI_MTG,C3,False
all_safe,LI_ITG,C3,False
all_safe,LI_STG,C3,False
all_safe,Right_Hippocampus_pct,C3,False
all_safe,Left_Hippocampus_pct,C3,False
all_safe,Right_Entorhinal_pct,C3,False
all_safe,Left_Entorhinal_pct,C3,False
all_safe,Right_Parahippocampal_pct,C3,False
all_safe,Left_Parahippocampal_pct,C3,False
all_safe,Right_MTG_pct,C3,False
all_safe,Left_MTG_pct,C3,False
all_safe,Right_ITG_pct,C3,False
all_safe,Left_ITG_pct,C3,False
all_safe,Right_STG_pct,C3,False
all_safe,Left_STG_pct,C3,False
all_safe,Right_Fusiform_pct,C3,False
all_safe,Left_Fusiform_pct,C3,False
all_safe,Right_TemporalPole_pct,C3,False
all_safe,Left_TemporalPole_pct,C3,False
all_safe,Right_PosteriorCingulate_pct,C3,False
all_safe,Left_PosteriorCingulate_pct,C3,False
all_safe,Right_Precuneus_pct,C3,False
all_safe,Left_Precuneus_pct,C3,False
all_safe,Right_SPL_pct,C3,False
all_safe,Left_SPL_pct,C3,False
all_safe,Right_SOG_pct,C3,False
all_safe,Left_SOG_pct,C3,False
all_safe,Right_MOG_pct,C3,False
all_safe,Left_MOG_pct,C3,False
all_safe,Right_IOG_pct,C3,False
all_safe,Left_IOG_pct,C3,False
all_safe,Right_LateralVentricle_pct,C3,False
all_safe,Left_LateralVentricle_pct,C3,False
all_safe,Right_InfLatVentricle_pct,C3,False
all_safe,Left_InfLatVentricle_pct,C3,False
