scenario_id,replicate_id,model,n_selected,selected_predictors
S0_linear_PH_inst30,1,finegray_all_safe_reduced_R,30,Left_LateralVentricle_pct;Left_InfLatVentricle_pct;Right_InfLatVentricle_pct;Right_Entorhinal_pct;Left_Hippocampus_pct;Left_Entorhinal_pct;Ventricles_total_pct;MMSE;Left_Parahippocampal_pct;Right_LateralVentricle_pct;Right_Hippocampus_pct;Right_Parahippocampal_pct;Right_Temporal_Region03_pct;Left_Temporal_Region01_pct;Right_Temporal_Region01_pct;Left_Fusiform_pct;MTL_total_pct;Right_MTG_pct;Right_STG_pct;Left_TemporalPole_pct;Left_STG_pct;Right_Temporal_Region05_pct;Right_Temporal_Region02_pct;Left_MTG_pct;Right_ITG_pct;Right_TemporalPole_pct;Left_Temporal_Region02_pct;Left_ITG_pct;Right_Fusiform_pct;Left_Temporal_Region03_pct
S0_linear_PH_inst30,2,finegray_all_safe_reduced_R,30,Right_Entorhinal_pct;Left_Entorhinal_pct;Right_Parahippocampal_pct;Left_Parahippocampal_pct;Left_Hippocampus_pct;MMSE;Left_Temporal_Region06_pct;Right_Hippocampus_pct;Left_Temporal_Region01_pct;Left_MTG_pct;Right_Temporal_Region01_pct;Right_Temporal_Region04_pct;Right_Fusiform_pct;Right_Temporal_Region02_pct;Left_InfLatVentricle_pct;Right_SOG_pct;Right_ITG_pct;Left_Precuneus_pct;Left_Temporal_Region04_pct;Left_STG_pct;Right_Temporal_Region03_pct;Left_Temporal_Region05_pct;Left_Temporal_Region02_pct;Right_Temporal_Region06_pct;Left_ITG_pct;Right_LateralVentricle_pct;Right_MTG_pct;Left_Fusiform_pct;Right_Temporal_Region05_pct;Left_Temporal_Region03_pct
S1_linear_PH_inst15,1,finegray_all_safe_reduced_R,30,Left_Parahippocampal_pct;Left_LateralVentricle_pct;Left_Hippocampus_pct;Right_Hippocampus_pct;Right_Entorhinal_pct;Left_InfLatVentricle_pct;Right_Fusiform_pct;Left_Entorhinal_pct;Right_InfLatVentricle_pct;MMSE;Right_Parahippocampal_pct;Left_SPL_pct;Right_LateralVentricle_pct;Right_PosteriorCingulate_pct;Right_STG_pct;Right_Temporal_Region05_pct;Left_TemporalPole_pct;Right_Occipital_Region06_pct;Left_STG_pct;Left_Temporal_Region01_pct;Right_Temporal_Region04_pct;Left_Precuneus_pct;Left_PosteriorCingulate_pct;Right_MTG_pct;Left_ITG_pct;Left_Temporal_Region04_pct;Right_IOG_pct;Ventricles_total_pct;Right_Temporal_Region02_pct;Left_Occipital_Region06_pct
S1_linear_PH_inst15,2,finegray_all_safe_reduced_R,30,Left_InfLatVentricle_pct;Left_Entorhinal_pct;Right_Hippocampus_pct;Right_Entorhinal_pct;Left_Hippocampus_pct;Right_Parahippocampal_pct;Right_InfLatVentricle_pct;Left_LateralVentricle_pct;Right_LateralVentricle_pct;Left_Parahippocampal_pct;Ventricles_total_pct;Left_MTG_pct;Left_Temporal_Region04_pct;MMSE;MTL_total_pct;Right_Temporal_Region06_pct;Left_Temporal_Region02_pct;Right_MTG_pct;Left_STG_pct;Left_Temporal_Region06_pct;Right_Temporal_Region05_pct;Right_Temporal_Region04_pct;Left_Temporal_Region01_pct;Right_IOG_pct;Left_Temporal_Region03_pct;Right_ITG_pct;Left_ITG_pct;Right_Temporal_Region03_pct;Left_Occipital_Region05_pct;Left_TemporalPole_pct
S2_linear_PH_inst45,1,finegray_all_safe_reduced_R,30,MMSE;Left_LateralVentricle_pct;Right_LateralVentricle_pct;Right_InfLatVentricle_pct;Right_Entorhinal_pct;Left_Parahippocampal_pct;Left_InfLatVentricle_pct;Left_Hippocampus_pct;Right_Hippocampus_pct;Right_Parahippocampal_pct;Left_Entorhinal_pct;Ventricles_total_pct;Left_Precuneus_pct;Right_Occipital_Region01_pct;Right_Occipital_Region02_pct;Right_Occipital_Region04_pct;Left_Occipital_Region02_pct;Left_SOG_pct;MTL_total_pct;Right_Temporal_Region05_pct;Left_Occipital_Region03_pct;Left_Occipital_Region04_pct;Left_Temporal_Region01_pct;Right_Occipital_Region06_pct;Posterior_total_pct;Right_Precuneus_pct;Left_PosteriorCingulate_pct;Left_IOG_pct;Right_SPL_pct;Left_Temporal_Region03_pct
S2_linear_PH_inst45,2,finegray_all_safe_reduced_R,30,MMSE;Right_InfLatVentricle_pct;Left_Hippocampus_pct;Right_Hippocampus_pct;Right_LateralVentricle_pct;Left_InfLatVentricle_pct;Left_LateralVentricle_pct;Left_Entorhinal_pct;Right_Parahippocampal_pct;Right_Entorhinal_pct;Left_Parahippocampal_pct;Left_MOG_pct;Left_Occipital_Region03_pct;Right_SOG_pct;Right_Occipital_Region06_pct;Ventricles_total_pct;Right_SPL_pct;Left_Occipital_Region05_pct;Left_Precuneus_pct;Posterior_total_pct;Right_Occipital_Region01_pct;Left_Occipital_Region02_pct;Right_Occipital_Region05_pct;Right_MOG_pct;Right_IOG_pct;Right_Occipital_Region04_pct;Left_Occipital_Region06_pct;Left_SOG_pct;Left_TemporalPole_pct;Left_PosteriorCingulate_pct
S3_nonlinear_interaction_inst30,1,finegray_all_safe_reduced_R,30,Right_InfLatVentricle_pct;MMSE;Right_LateralVentricle_pct;Left_LateralVentricle_pct;Right_Hippocampus_pct;Left_Entorhinal_pct;Left_Parahippocampal_pct;Left_InfLatVentricle_pct;Right_Parahippocampal_pct;Right_Entorhinal_pct;Left_Hippocampus_pct;Ventricles_total_pct;MTL_total_pct;Right_STG_pct;Right_Temporal_Region05_pct;Right_MTG_pct;Left_Temporal_Region01_pct;Left_Temporal_Region06_pct;Left_MTG_pct;Right_Temporal_Region04_pct;Left_STG_pct;Left_Fusiform_pct;Right_Precuneus_pct;Right_Occipital_Region05_pct;Right_Temporal_Region02_pct;Left_Temporal_Region05_pct;Left_Temporal_Region03_pct;Left_Occipital_Region04_pct;Right_Temporal_Region01_pct;Right_Occipital_Region01_pct
S3_nonlinear_interaction_inst30,2,finegray_all_safe_reduced_R,30,MMSE;Right_LateralVentricle_pct;Right_InfLatVentricle_pct;Left_LateralVentricle_pct;Right_Entorhinal_pct;Left_Entorhinal_pct;Left_Hippocampus_pct;Left_InfLatVentricle_pct;Right_Parahippocampal_pct;Right_Hippocampus_pct;Ventricles_total_pct;Left_Parahippocampal_pct;MTL_total_pct;Right_Temporal_Region06_pct;Left_Temporal_Region03_pct;Left_TemporalPole_pct;Right_Temporal_Region05_pct;Right_Temporal_Region01_pct;Right_Temporal_Region02_pct;Left_Temporal_Region06_pct;Left_ITG_pct;Right_Temporal_Region03_pct;Left_Temporal_Region02_pct;Left_Temporal_Region05_pct;Right_STG_pct;Left_Temporal_Region01_pct;Right_TemporalPole_pct;Right_Temporal_Region04_pct;Left_STG_pct;Left_Occipital_Region02_pct
S4_nonPH_inst30,1,finegray_all_safe_reduced_R,30,MMSE;Right_LateralVentricle_pct;Left_LateralVentricle_pct;Left_InfLatVentricle_pct;Right_InfLatVentricle_pct;Ventricles_total_pct;Right_Parahippocampal_pct;Right_Hippocampus_pct;Left_Hippocampus_pct;Left_Parahippocampal_pct;Left_Entorhinal_pct;Right_Entorhinal_pct;Right_ITG_pct;Right_TemporalPole_pct;Left_Temporal_Region04_pct;Right_MTG_pct;Right_Occipital_Region06_pct;Right_Occipital_Region05_pct;Left_STG_pct;Left_Temporal_Region06_pct;Left_Temporal_Region05_pct;Right_SPL_pct;Right_Temporal_Region03_pct;Left_MOG_pct;MTL_total_pct;Left_Temporal_Region03_pct;Left_Temporal_Region01_pct;Right_Occipital_Region03_pct;Left_SOG_pct;Right_Temporal_Region01_pct
S4_nonPH_inst30,2,finegray_all_safe_reduced_R,30,MMSE;Right_LateralVentricle_pct;Left_InfLatVentricle_pct;Right_InfLatVentricle_pct;Left_LateralVentricle_pct;Left_Entorhinal_pct;Right_Parahippocampal_pct;Right_Hippocampus_pct;Left_Hippocampus_pct;MTL_total_pct;Ventricles_total_pct;Left_Parahippocampal_pct;Right_Entorhinal_pct;Right_Precuneus_pct;Left_IOG_pct;Right_Occipital_Region06_pct;Right_Occipital_Region05_pct;Right_SPL_pct;Right_SOG_pct;Left_Occipital_Region04_pct;Left_Occipital_Region06_pct;Right_PosteriorCingulate_pct;Left_Occipital_Region03_pct;Left_Occipital_Region02_pct;Right_Temporal_Region01_pct;Left_MOG_pct;Right_MOG_pct;age;Left_PosteriorCingulate_pct;Left_SPL_pct
